,Rating,CocoaPercentage
229,3.5,75.0
230,3.75,75.0
231,4.0,75.0
232,4.0,75.0
233,3.5,75.0
234,3.25,75.0
235,3.0,75.0
236,2.75,75.0
237,3.0,75.0
238,3.0,75.0
239,4.0,75.0
240,2.5,75.0
241,3.75,75.0
242,4.0,75.0
243,4.0,75.0
244,4.0,75.0
245,1.5,100.0
246,3.0,75.0
247,4.0,75.0
248,3.25,77.0
249,1.5,100.0
250,2.75,70.0
251,2.75,70.0
252,3.5,70.0
253,3.75,70.0
254,3.75,68.0
255,3.75,70.0
256,4.0,70.0
257,3.0,72.0
258,3.25,70.0
259,3.5,75.0
260,3.5,85.0
261,3.0,60.0
262,3.25,80.0
263,3.5,70.0
264,2.75,80.0
265,3.25,80.0
266,3.25,60.0
267,3.0,70.0
268,3.0,72.0
269,3.5,70.0
270,3.5,72.0
271,2.75,68.0
272,3.25,70.0
273,2.75,68.0
274,3.25,72.0
275,3.5,72.0
276,3.25,72.0
277,3.25,72.0
278,2.5,60.0
279,2.5,70.0
280,2.5,75.0
281,2.5,75.0
282,2.75,75.0
283,2.25,75.0
284,3.5,65.0
285,3.0,70.0
286,2.0,75.0
287,2.0,72.0
288,3.0,66.0
289,3.5,77.0
290,3.25,75.0
291,2.5,75.0
292,3.25,74.0
293,3.5,75.0
294,3.75,70.0
295,3.25,74.0
296,3.75,71.0
297,3.75,74.0
298,3.75,72.0
299,3.5,64.0
300,3.5,70.0
301,2.75,69.0
302,3.25,70.0
303,3.5,70.0
304,3.75,72.0
305,3.0,72.0
306,3.75,66.0
307,3.25,65.0
308,3.5,70.0
309,3.5,71.0
310,3.75,71.0
311,4.0,71.0
312,3.25,71.0
313,3.5,71.0
314,3.5,77.0
315,4.0,70.0
316,4.0,70.0
317,3.0,70.0
318,3.25,70.0
319,3.5,70.0
320,3.25,70.0
321,3.5,63.0
322,3.5,71.0
323,2.5,82.0
324,1.5,91.0
325,2.75,60.0
326,1.0,70.0
327,2.5,75.0
328,3.0,72.0
329,3.5,70.0
330,3.5,100.0
331,3.0,80.0
332,2.25,78.0
333,2.5,70.0
334,2.5,75.0
335,2.75,73.0
336,3.0,70.0
337,3.0,75.0
338,3.25,70.0
339,2.0,77.0
340,2.5,77.0
341,2.75,77.0
342,3.0,55.0
343,3.25,55.0
344,3.5,55.0
345,3.5,70.0
346,3.75,70.0
347,3.5,72.0
348,3.25,72.0
349,3.5,72.0
350,3.0,72.0
351,2.75,80.0
352,3.0,65.0
353,3.25,65.0
354,3.25,65.0
355,3.5,65.0
356,3.5,65.0
357,4.0,72.0
358,3.5,72.0
359,3.75,70.0
360,3.5,72.0
361,3.5,72.0
362,3.5,76.0
363,2.75,70.0
364,3.0,70.0
365,3.5,73.0
366,2.5,70.0
367,3.25,70.0
368,3.25,72.0
369,2.75,70.0
370,3.0,72.0
371,2.5,70.0
372,2.75,70.0
373,2.75,70.0
374,3.0,70.0
375,2.75,72.0
376,2.75,70.0
377,3.25,70.0
378,2.75,55.0
379,3.0,75.0
380,3.5,70.0
381,3.5,70.0
382,3.25,70.0
383,3.0,75.0
384,3.25,82.0
385,2.75,70.0
386,3.5,70.0
387,2.5,65.0
388,2.75,65.0
389,2.5,80.0
390,3.75,70.0
391,3.75,68.0
392,2.5,90.0
393,2.5,80.0
394,2.5,70.0
395,2.75,70.0
396,3.0,60.0
397,3.0,75.0
398,3.0,80.0
399,3.25,70.0
400,2.75,80.0
401,2.75,74.0
402,3.25,75.0
403,3.5,68.0
404,3.75,80.0
405,3.75,69.0
406,3.75,80.0
407,3.75,70.0
408,2.5,82.0
409,2.75,68.0
410,3.25,72.0
411,2.5,70.0
412,3.0,77.0
413,3.25,65.0
414,3.25,71.0
415,3.5,71.0
416,3.25,60.0
417,3.25,75.0
418,3.5,71.0
419,2.5,71.0
420,2.5,71.0
421,3.0,70.0
422,2.5,65.0
423,2.5,75.0
424,2.5,80.0
425,2.75,70.0
426,3.0,70.0
427,3.0,80.0
428,3.0,70.0
429,2.75,42.0
430,3.25,75.0
431,3.75,68.0
432,3.0,61.0
433,2.75,77.0
434,3.75,73.5
435,3.0,80.0
436,4.0,75.0
437,1.0,100.0
438,3.5,73.0
439,3.0,75.0
440,3.25,70.0
441,2.75,80.0
442,3.25,72.0
443,3.75,70.0
444,2.75,88.0
445,3.5,76.0
446,2.75,78.0
447,3.25,65.0
448,3.5,85.0
449,1.5,100.0
450,3.75,72.0
451,3.5,70.0
452,3.25,72.0
453,3.0,70.0
454,2.5,72.0
455,3.0,72.0
456,3.25,72.0
457,3.25,72.0
458,3.0,72.0
459,3.25,62.0
460,3.5,70.0
461,3.75,70.0
462,3.0,72.0
463,3.0,72.0
464,3.0,72.0
465,1.0,70.0
466,2.5,70.0
467,2.75,83.0
468,3.25,75.0
469,3.25,65.0
470,3.25,67.0
471,3.25,64.0
472,3.5,75.0
473,3.25,85.0
474,3.75,73.0
475,2.75,70.0
476,3.25,70.0
477,2.75,72.0
478,3.0,70.0
479,3.5,70.0
480,2.25,70.0
481,2.75,70.0
482,3.75,70.0
483,3.0,70.0
484,3.5,70.0
485,3.5,70.0
486,2.75,70.0
487,3.75,70.0
488,2.75,70.0
489,3.25,70.0
490,3.5,70.0
491,3.5,70.0
492,3.0,70.0
493,3.25,70.0
494,3.75,70.0
495,3.25,70.0
496,3.25,70.0
497,3.25,70.0
498,3.25,82.0
499,3.0,75.0
500,3.75,70.0
501,3.75,70.0
502,4.0,70.0
503,3.25,70.0
504,3.5,60.0
505,3.0,75.0
506,3.25,60.0
507,2.75,72.0
508,3.0,72.0
509,3.25,70.0
510,3.25,75.0
511,3.0,70.0
512,3.25,70.0
513,3.0,70.0
514,3.25,70.0
515,2.5,70.0
516,2.75,70.0
517,2.75,70.0
518,3.25,58.0
519,3.5,72.0
520,3.5,65.0
521,2.5,70.0
522,3.0,70.0
523,2.5,66.0
524,3.0,64.0
525,3.0,71.0
526,3.0,60.0
527,3.0,64.0
528,3.0,64.0
529,3.0,64.0
530,3.75,66.0
531,2.5,72.0
532,2.75,80.0
533,3.5,77.0
534,3.5,77.0
535,3.75,70.0
536,3.5,78.0
537,3.75,70.0
538,3.5,74.0
539,3.25,70.0
540,3.5,76.0
541,2.75,75.0
542,2.75,72.0
543,2.75,80.0
544,3.0,72.0
545,2.75,75.0
546,3.0,74.0
547,3.25,70.0
548,3.0,85.0
549,3.25,72.0
550,3.25,72.0
551,3.5,72.0
552,3.75,70.0
553,3.0,88.0
554,1.5,70.0
555,3.75,70.0
556,3.75,70.0
557,3.0,100.0
558,3.5,70.0
559,3.75,70.0
560,3.5,70.0
561,3.0,70.0
562,3.0,70.0
563,3.0,70.0
564,3.5,78.0
565,3.75,70.0
566,4.0,70.0
567,3.25,75.0
568,3.25,60.0
569,3.5,70.0
570,3.5,70.0
571,3.75,70.0
572,4.0,70.0
573,4.0,70.0
574,3.0,70.0
575,3.25,70.0
576,3.5,70.0
577,2.75,75.0
578,2.5,70.0
579,2.75,80.0
580,2.75,77.0
581,4.0,70.0
582,3.5,70.0
583,3.75,76.0
584,3.75,72.0
585,3.75,72.0
586,3.5,65.0
587,3.0,72.0
588,3.25,71.0
589,3.5,71.0
590,3.5,70.0
591,3.75,72.0
592,2.5,70.0
593,3.75,70.0
594,3.25,70.0
595,2.75,82.0
596,3.5,70.0
597,3.5,70.0
598,3.25,70.0
599,3.25,70.0
600,4.0,70.0
601,3.25,70.0
602,3.5,70.0
603,3.75,70.0
604,3.25,70.0
605,3.25,70.0
606,2.75,72.0
607,3.0,68.0
608,3.75,75.0
609,2.75,71.0
610,3.75,70.0
611,2.75,60.5
612,3.0,70.0
613,2.5,74.0
614,2.5,58.0
615,3.0,61.0
616,2.75,70.0
617,2.75,60.0
618,3.25,70.0
619,3.0,79.0
620,3.5,78.0
621,3.25,75.0
622,3.25,80.0
623,3.25,70.0
624,3.0,80.0
625,3.25,74.0
626,2.75,70.0
627,2.0,65.0
628,3.5,81.0
629,2.75,74.0
630,3.0,72.0
631,2.5,55.0
632,2.5,55.0
633,2.5,70.0
634,2.75,62.0
635,2.5,62.0
636,3.0,80.0
637,3.5,80.0
638,3.75,80.0
639,2.75,75.0
640,3.0,76.0
641,2.5,76.0
642,2.75,76.0
643,3.5,58.0
644,2.0,62.0
645,3.0,74.0
646,3.0,64.0
647,3.0,65.0
648,3.5,72.0
649,4.0,68.0
650,2.25,65.0
651,3.0,80.0
652,3.25,70.0
653,2.5,85.0
654,2.75,72.0
655,2.75,70.0
656,2.75,80.0
657,2.75,70.0
658,3.5,75.0
659,3.75,67.0
660,3.5,70.0
661,3.75,70.0
662,3.75,70.0
663,3.5,60.0
664,3.5,70.0
665,3.5,75.0
666,3.0,80.0
667,3.5,60.0
668,3.5,65.0
669,3.5,70.0
670,3.5,73.0
671,3.0,80.0
672,3.25,68.0
673,3.5,66.0
674,2.5,70.0
675,3.5,61.0
676,2.0,81.0
677,3.5,70.0
678,3.5,65.0
679,3.0,70.0
680,3.5,70.0
681,3.5,70.0
682,3.5,70.0
683,3.25,72.0
684,3.75,72.0
685,3.75,70.0
686,4.0,70.0
687,3.5,69.0
688,3.5,69.0
689,4.0,74.0
690,4.0,69.0
691,3.0,69.0
692,2.75,74.0
693,3.25,70.0
694,3.5,72.0
695,3.5,70.0
696,2.75,74.0
697,3.25,72.0
698,3.0,74.0
699,3.25,76.0
700,4.0,70.0
701,2.75,80.0
702,3.0,70.0
703,3.25,70.0
704,3.5,65.0
705,3.5,70.0
706,3.0,60.0
707,3.25,85.0
708,3.5,70.0
709,3.25,70.0
710,3.5,70.0
711,3.25,70.0
712,3.25,70.0
713,3.25,70.0
714,3.75,70.0
715,3.25,70.0
716,3.5,70.0
717,3.5,70.0
718,3.75,74.0
719,4.0,74.0
720,3.75,70.0
721,3.0,76.0
722,3.75,70.0
723,3.0,75.0
724,2.5,70.0
725,3.25,66.0
726,3.0,70.0
727,2.5,85.0
728,3.25,65.0
729,4.0,70.0
730,3.5,70.0
731,3.5,80.0
732,3.5,75.0
733,3.5,70.0
734,3.0,66.0
735,2.75,77.0
736,3.25,77.0
737,3.25,77.0
738,3.0,72.0
739,2.5,70.0
740,3.5,70.0
741,3.25,82.0
742,2.75,60.0
743,2.5,71.0
744,3.0,64.0
745,3.0,64.0
746,3.0,64.0
747,3.0,76.0
748,3.25,64.0
749,3.75,70.0
750,2.75,65.0
751,2.75,65.0
752,3.25,65.0
753,3.5,65.0
754,2.75,72.0
755,3.25,61.0
756,3.25,72.0
757,3.0,65.0
758,3.0,55.0
759,3.0,91.0
760,3.5,70.0
761,3.0,65.0
762,3.0,64.0
763,3.5,65.0
764,3.5,72.0
765,3.0,65.0
766,2.5,65.0
767,3.5,65.0
768,3.5,65.0
769,3.5,61.0
770,3.0,61.0
771,2.75,80.0
772,2.75,74.0
773,3.25,75.0
774,3.5,70.0
775,2.75,65.0
776,3.0,70.0
777,3.0,80.0
778,3.25,66.0
779,2.0,100.0
780,2.5,77.0
781,2.75,55.0
782,3.0,70.0
783,3.0,70.0
784,3.25,85.0
785,3.0,67.0
786,3.5,77.0
787,3.5,74.0
788,2.75,64.0
789,3.25,70.0
790,3.5,74.0
791,3.5,67.0
792,3.0,67.0
793,3.75,67.0
794,3.75,67.0
795,3.5,72.0
796,3.5,70.0
797,3.5,77.0
798,3.75,68.0
799,4.0,72.0
800,2.75,57.0
801,3.5,74.0
802,2.75,70.0
803,3.0,74.0
804,3.0,70.0
805,3.25,73.0
806,3.25,70.0
807,2.75,70.0
808,2.75,72.0
809,3.25,75.0
810,3.5,66.0
811,2.0,80.0
812,2.5,80.0
813,3.0,72.0
814,3.25,58.0
815,3.5,58.0
816,2.75,70.0
817,3.5,70.0
818,3.5,70.0
819,3.5,70.0
820,3.5,70.0
821,2.5,70.0
822,2.75,70.0
823,3.5,70.0
824,3.75,75.0
825,2.5,72.0
826,2.75,70.0
827,4.0,70.0
828,1.75,100.0
829,3.0,75.0
830,3.5,80.0
831,3.0,90.0
832,3.0,72.0
833,3.5,82.0
834,2.75,100.0
835,2.5,100.0
836,2.75,100.0
837,3.5,66.0
838,3.0,80.0
839,3.0,65.0
840,3.25,65.0
841,2.75,70.0
842,3.0,70.0
843,2.75,70.0
844,3.0,72.0
845,2.5,80.0
846,2.75,75.0
847,3.0,72.0
848,3.5,70.0
849,3.0,70.0
850,3.0,70.0
851,3.0,70.0
852,3.75,70.0
853,3.5,70.0
854,3.25,70.0
855,3.75,70.0
856,3.75,72.0
857,3.75,72.0
858,3.75,72.0
859,3.25,72.0
860,3.75,72.0
861,4.0,74.0
862,3.5,72.0
863,4.0,70.0
864,4.0,72.0
865,4.0,72.0
866,2.5,61.0
867,3.25,70.0
868,2.75,70.0
869,3.0,77.0
870,2.75,72.0
871,3.0,72.0
872,3.5,72.0
873,2.25,72.0
874,3.25,72.0
875,3.25,72.0
876,3.5,70.0
877,2.75,70.0
878,2.0,71.0
879,2.75,63.0
880,3.5,70.0
881,3.5,70.0
882,4.0,70.0
883,3.5,70.0
884,3.0,82.0
885,3.25,55.0
886,3.25,62.0
887,2.5,64.0
888,3.75,65.0
889,3.0,70.0
890,3.5,70.0
891,2.75,75.0
892,2.5,85.0
893,2.75,85.0
894,3.0,85.0
895,2.5,75.0
896,3.0,85.0
897,2.75,70.0
898,2.75,80.0
899,3.75,70.0
900,2.0,72.0
901,3.0,60.0
902,2.5,72.0
903,2.75,72.0
904,3.0,72.0
905,3.25,72.0
906,3.25,90.0
907,3.25,72.0
908,3.25,72.0
909,3.25,70.0
910,2.75,70.0
911,3.75,70.0
912,3.75,70.0
913,2.5,72.5
914,3.0,72.5
915,2.5,72.5
916,3.0,72.5
917,3.25,74.0
918,4.0,70.0
919,3.75,68.0
920,3.75,74.0
921,3.25,75.0
922,3.75,74.0
923,3.0,71.0
924,3.5,64.0
925,3.0,68.0
926,2.25,70.0
927,2.5,70.0
928,3.0,70.0
929,3.0,70.0
930,2.75,74.0
931,3.25,60.0
932,3.25,56.0
933,3.5,66.0
934,3.5,68.0
935,3.25,68.0
936,3.5,69.0
937,3.0,60.0
938,3.75,60.0
939,3.5,74.0
940,2.5,72.0
941,3.25,60.0
942,2.75,75.0
943,2.75,75.0
944,3.0,75.0
945,3.25,75.0
946,3.0,75.0
947,3.5,75.0
948,3.25,75.0
949,3.75,75.0
950,2.75,70.0
951,2.75,68.0
952,3.5,70.0
953,2.5,75.0
954,3.5,80.0
955,3.0,75.0
956,3.0,75.0
957,3.0,72.0
958,3.5,70.0
959,3.25,70.0
960,3.25,70.0
961,3.25,70.0
962,3.5,70.0
963,3.0,70.0
964,3.25,70.0
965,3.5,70.0
966,3.5,70.0
967,3.5,71.0
968,3.0,70.0
969,3.5,65.0
970,3.5,68.0
971,3.75,68.0
972,2.75,75.0
973,3.0,74.0
974,3.5,68.0
975,3.0,85.0
976,2.5,65.0
977,3.75,70.0
978,3.25,65.0
979,3.75,75.0
980,3.0,71.0
981,3.0,72.0
982,3.5,70.0
983,2.0,75.0
984,2.75,46.0
985,3.0,60.0
986,3.0,58.0
987,3.5,65.0
988,1.5,70.0
989,2.25,55.0
990,3.5,67.0
991,3.75,70.0
992,4.0,63.0
993,3.5,75.0
994,3.5,73.0
995,2.75,70.0
996,3.5,70.0
997,2.75,70.0
998,2.75,70.0
999,3.25,70.0
1000,3.25,70.0
1001,3.5,70.0
1002,2.5,70.0
1003,2.75,70.0
1004,2.75,72.0
1005,2.0,75.0
1006,3.0,70.0
1007,3.25,70.0
1008,3.75,70.0
1009,2.0,70.0
1010,2.75,75.0
1011,3.5,73.0
1012,3.5,65.0
1013,3.5,55.0
1014,2.75,55.0
1015,3.0,70.0
1016,2.5,74.0
1017,2.5,74.0
1018,2.75,74.0
1019,3.75,74.0
1020,2.75,70.0
1021,3.5,72.0
1022,3.75,72.0
1023,3.75,72.0
1024,3.25,72.0
1025,2.75,72.0
1026,3.0,72.0
1027,3.25,72.0
1028,3.75,70.0
1029,3.5,70.0
1030,3.75,70.0
1031,3.5,85.0
1032,3.25,70.0
1033,3.5,70.0
1034,3.25,70.0
1035,3.25,75.0
1036,3.5,70.0
1037,3.5,62.0
1038,3.5,70.0
1039,2.75,70.0
1040,3.5,70.0
1041,3.5,68.0
1042,2.75,75.0
1043,3.0,72.0
1044,3.5,78.0
1045,3.0,70.0
1046,2.75,70.0
1047,3.0,70.0
1048,3.25,75.0
1049,3.25,85.0
1050,3.5,68.0
1051,3.75,70.0
1052,3.5,75.0
1053,3.5,76.0
1054,3.5,72.0
1055,3.5,70.0
1056,3.5,78.0
1057,3.0,80.0
1058,3.5,74.0
1059,3.0,65.0
1060,3.0,65.0
1061,3.25,65.0
1062,3.5,65.0
1063,2.25,74.0
1064,2.5,89.0
1065,2.75,76.0
1066,3.0,82.0
1067,3.25,74.0
1068,3.0,76.0
1069,3.25,74.0
1070,3.75,75.0
1071,3.5,73.0
1072,2.5,72.0
1073,2.75,73.0
1074,3.5,72.0
1075,3.0,76.0
1076,3.0,70.0
1077,2.75,81.0
1078,3.5,70.0
1079,2.75,71.0
1080,3.0,75.0
1081,3.25,73.0
1082,3.75,74.0
1083,2.75,81.0
1084,3.0,75.0
1085,3.25,70.0
1086,3.5,72.0
1087,4.0,68.0
1088,4.0,74.0
1089,3.75,70.0
1090,3.25,70.0
1091,3.25,70.0
1092,3.25,82.0
1093,3.5,63.0
1094,3.0,72.0
1095,2.5,70.0
1096,2.75,70.0
1097,3.0,70.0
1098,3.0,70.0
1099,3.5,70.0
1100,2.5,80.0
1101,2.5,72.0
1102,2.75,80.0
1103,3.0,70.0
1104,3.25,80.0
1105,3.5,70.0
1106,3.25,70.0
1107,3.5,80.0
1108,3.0,70.0
1109,3.5,72.0
1110,3.5,70.0
1111,3.75,66.0
1112,3.5,66.0
1113,3.5,67.0
1114,2.0,60.0
1115,2.0,85.0
1116,3.0,70.0
1117,4.0,67.0
1118,4.0,65.0
1119,4.0,64.0
1120,2.0,99.0
1121,3.5,80.0
1122,3.5,70.0
1123,3.75,75.0
1124,3.75,75.0
1125,3.25,75.0
1126,3.5,70.0
1127,2.5,75.0
1128,3.25,80.0
1129,1.5,65.0
1130,2.0,75.0
1131,2.5,70.0
1132,2.5,70.0
1133,3.5,70.0
1134,2.75,67.0
1135,2.75,77.0
1136,3.5,70.0
1137,3.75,75.0
1138,3.5,70.0
1139,2.5,65.0
1140,3.25,73.0
1141,3.0,72.0
1142,2.75,67.0
1143,3.0,70.0
1144,2.75,70.0
1145,3.25,70.0
1146,2.75,70.0
1147,2.75,70.0
1148,3.25,70.0
1149,3.5,72.0
1150,3.25,70.0
1151,3.25,70.0
1152,3.5,63.0
1153,3.5,85.0
1154,3.5,70.0
1155,3.5,80.0
1156,2.75,68.0
1157,2.75,71.0
1158,2.75,68.0
1159,3.0,80.0
1160,2.5,58.0
1161,3.0,70.0
1162,3.75,70.0
1163,3.75,78.0
1164,2.5,71.0
1165,3.25,70.0
1166,2.75,75.0
1167,3.0,70.0
1168,3.5,85.0
1169,2.25,72.0
1170,2.5,70.0
1171,2.5,73.5
1172,3.5,70.0
1173,2.5,70.0
1174,3.75,67.0
1175,1.0,73.0
1176,2.0,73.0
1177,2.75,75.0
1178,3.0,71.0
1179,2.25,72.0
1180,2.75,72.0
1181,3.0,72.0
1182,3.0,72.0
1183,2.75,75.0
1184,3.5,75.0
1185,3.0,75.0
1186,3.0,75.0
1187,3.25,75.0
1188,3.0,70.0
1189,3.0,70.0
1190,3.0,70.0
1191,2.75,75.0
1192,3.25,80.0
1193,3.75,70.0
1194,2.75,70.0
1195,3.0,70.0
1196,3.5,70.0
1197,3.75,70.0
1198,3.5,70.0
1199,2.5,70.0
1200,3.75,70.0
1201,3.75,70.0
1202,3.75,70.0
1203,4.0,75.0
1204,2.75,100.0
1205,3.5,70.0
1206,2.75,66.0
1207,3.0,70.0
1208,3.25,88.0
1209,3.5,74.0
1210,2.75,70.0
1211,3.0,70.0
1212,3.5,70.0
1213,3.0,72.0
1214,3.0,72.0
1215,2.75,67.0
1216,3.0,75.0
1217,2.0,76.0
1218,2.75,76.0
1219,2.75,85.0
1220,3.0,85.0
1221,2.75,80.0
1222,3.75,70.0
1223,3.0,70.0
1224,3.5,66.0
1225,2.75,74.0
1226,2.75,72.0
1227,2.75,72.0
1228,3.0,72.0
1229,3.0,72.0
1230,2.75,68.0
1231,3.25,80.0
1232,3.75,66.0
1233,3.0,70.0
1234,3.0,75.0
1235,3.25,68.0
1236,3.0,60.0
1237,3.0,60.0
1238,3.0,65.0
1239,3.0,72.0
1240,4.0,70.0
1241,3.25,70.0
1242,3.5,70.0
1243,3.75,70.0
1244,4.0,70.0
1245,2.75,85.0
1246,4.0,70.0
1247,3.5,70.0
1248,2.5,60.0
1249,2.75,65.0
1250,3.0,72.0
1251,2.0,100.0
1252,3.5,70.0
1253,2.75,70.0
1254,3.0,72.0
1255,3.25,70.0
1256,3.25,70.0
1257,3.5,72.0
1258,3.75,72.0
1259,2.75,72.0
1260,3.75,78.0
1261,2.75,75.0
1262,3.5,75.0
1263,3.75,70.0
1264,3.0,76.0
1265,3.5,65.0
1266,3.25,70.0
1267,3.5,70.0
1268,3.0,70.0
1269,3.5,70.0
1270,2.5,55.0
1271,2.75,70.0
1272,3.75,70.0
1273,4.0,75.0
1274,3.5,67.0
1275,3.5,70.0
1276,4.0,70.0
1277,4.0,67.0
1278,2.25,73.0
1279,2.75,64.0
1280,3.0,82.0
1281,3.25,70.0
1282,3.0,75.0
1283,3.25,75.0
1284,3.75,78.0
1285,3.0,85.0
1286,3.0,72.0
1287,3.0,72.0
1288,4.0,70.0
1289,3.75,72.0
1290,4.0,72.0
1291,3.5,85.0
1292,4.0,72.0
1293,3.0,72.0
1294,4.0,72.0
1295,2.5,80.0
1296,2.5,62.0
1297,2.75,80.0
1298,2.75,80.0
1299,2.75,80.0
1300,3.25,80.0
1301,3.25,73.0
1302,2.5,73.0
1303,3.25,73.0
1304,3.5,73.0
1305,2.5,76.0
1306,2.75,82.0
1307,3.75,70.0
1308,3.75,70.0
1309,3.5,70.0
1310,3.0,70.0
1311,2.75,70.0
1312,3.5,70.0
1313,3.75,82.0
1314,3.25,75.0
1315,3.25,75.0
1316,3.5,75.0
1317,2.0,75.0
1318,3.0,75.0
1319,3.0,100.0
1320,2.0,75.0
1321,3.5,75.0
1322,4.0,75.0
1323,3.0,75.0
1324,3.5,75.0
1325,3.5,75.0
1326,3.5,75.0
1327,3.75,75.0
1328,3.5,75.0
1329,3.5,75.0
1330,4.0,75.0
1331,3.0,75.0
1332,3.0,75.0
1333,3.25,75.0
1334,3.5,75.0
1335,4.0,80.0
1336,3.0,75.0
1337,3.0,75.0
1338,3.5,75.0
1339,3.5,77.0
1340,3.5,70.0
1341,3.5,74.0
1342,2.75,80.0
1343,2.75,75.0
1344,3.0,75.0
1345,3.25,72.0
1346,2.75,85.0
1347,2.75,73.0
1348,3.25,75.0
1349,3.5,85.0
1350,2.75,55.0
1351,3.25,80.0
1352,3.0,60.0
1353,3.25,65.0
1354,2.75,70.0
1355,3.0,74.0
1356,3.0,70.0
1357,2.75,75.0
1358,3.25,75.0
1359,3.5,85.0
1360,2.75,70.0
